date,620
2006-03-28,8.0212
2006-03-29,8.0259
2006-03-30,8.0253
2006-03-31,8.0175
2006-04-03,8.021
2006-04-04,8.0171
2006-04-05,8.011
2006-04-06,8.008
2006-04-07,8.0119
2006-04-10,8.0064
2006-04-11,8.011
2006-04-12,8.0119
2006-04-13,8.0185
2006-04-14,8.0165
2006-04-17,8.0205
2006-04-18,8.024
2006-04-19,8.0135
2006-04-20,8.0135
2006-04-21,8.017
2006-04-24,8.0165
2006-04-25,8.012
2006-04-26,8.0183
2006-04-27,8.0172
2006-04-28,8.0139
2006-05-01,8.0139
2006-05-02,8.0139
2006-05-03,8.0139
2006-05-04,8.0139
2006-05-05,8.0139
2006-05-08,8.007
2006-05-09,8.0052
2006-05-10,8.0035
2006-05-11,8.004
2006-05-12,8.0065
2006-05-15,8.008
2006-05-16,8.003
2006-05-17,8.001
2006-05-18,8.0104
2006-05-19,8.02
2006-05-22,8.026
2006-05-23,8.02
2006-05-24,8.02
2006-05-25,8.025
2006-05-26,8.025
2006-05-29,8.0226
2006-05-30,8.032
2006-05-31,8.024
2006-06-01,8.0204
2006-06-02,8.023
2006-06-05,8.0077
2006-06-06,8.0125
2006-06-07,8.017
2006-06-08,8.0185
2006-06-09,8.0112
2006-06-12,8.016
2006-06-13,8.023
2006-06-14,8.0005
2006-06-15,8.0009
2006-06-16,7.9983
2006-06-19,8.0077
2006-06-20,8.0029
2006-06-21,8.001
2006-06-22,7.9965
2006-06-23,7.9998
2006-06-26,8.002
2006-06-27,7.9985
2006-06-28,7.9985
2006-06-29,7.996
2006-06-30,7.9925
2006-07-03,8.0002
2006-07-04,7.9923
2006-07-05,7.996
2006-07-06,7.996
2006-07-07,7.9855
2006-07-10,7.9892
2006-07-11,7.9915
2006-07-12,7.996
2006-07-13,7.9924
2006-07-14,7.9978
2006-07-17,7.9985
2006-07-18,7.9985
2006-07-19,8.0035
2006-07-20,7.993
2006-07-21,7.9828
2006-07-24,7.9876
2006-07-25,7.9877
2006-07-26,7.9845
2006-07-27,7.975
2006-07-28,7.971
2006-07-31,7.97
2006-08-01,7.9745
2006-08-02,7.9705
2006-08-03,7.975
2006-08-04,7.978
2006-08-07,7.9685
2006-08-08,7.9729
2006-08-09,7.977
2006-08-10,7.9708
2006-08-11,7.9777
2006-08-14,7.984
2006-08-15,8.0015
2006-08-16,7.9882
2006-08-17,7.979
2006-08-18,7.9755
2006-08-21,7.9684
2006-08-22,7.9684
2006-08-23,7.9699
2006-08-24,7.9719
2006-08-25,7.9763
2006-08-28,7.9692
2006-08-29,7.9623
2006-08-30,7.9587
2006-08-31,7.9549
2006-09-01,7.9532
2006-09-04,7.9405
2006-09-05,7.941
2006-09-06,7.9443
2006-09-07,7.941
2006-09-08,7.948
2006-09-11,7.9542
2006-09-12,7.9475
2006-09-13,7.948
2006-09-14,7.946
2006-09-15,7.9445
2006-09-18,7.9468
2006-09-19,7.9362
2006-09-20,7.9265
2006-09-21,7.9243
2006-09-22,7.917
2006-09-25,7.921
2006-09-26,7.9105
2006-09-27,7.9046
2006-09-28,7.8955
2006-09-29,7.9073
2006-10-02,7.9073
2006-10-03,7.9073
2006-10-04,7.9073
2006-10-05,7.9073
2006-10-06,7.9073
2006-10-09,7.9015
2006-10-10,7.9052
2006-10-11,7.9162
2006-10-12,7.9143
2006-10-13,7.9015
2006-10-16,7.9098
2006-10-17,7.9075
2006-10-18,7.9077
2006-10-19,7.9082
2006-10-20,7.9046
2006-10-23,7.899
2006-10-24,7.9025
2006-10-25,7.8994
2006-10-26,7.8945
2006-10-27,7.8896
2006-10-30,7.8774
2006-10-31,7.879
2006-11-01,7.8724
2006-11-02,7.8735
2006-11-03,7.8712
2006-11-06,7.8775
2006-11-07,7.8745
2006-11-08,7.8683
2006-11-09,7.8665
2006-11-10,7.8645
2006-11-13,7.8635
2006-11-14,7.8665
2006-11-15,7.8685
2006-11-16,7.8715
2006-11-17,7.872
2006-11-20,7.874
2006-11-21,7.8695
2006-11-22,7.8641
2006-11-23,7.863
2006-11-24,7.8551
2006-11-27,7.8425
2006-11-28,7.845
2006-11-29,7.8365
2006-11-30,7.8333
2006-12-01,7.8305
2006-12-04,7.8275
2006-12-05,7.8235
2006-12-06,7.8234
2006-12-07,7.8324
2006-12-08,7.8245
2006-12-11,7.8293
2006-12-12,7.8305
2006-12-13,7.825
2006-12-14,7.8199
2006-12-15,7.8279
2006-12-18,7.8202
2006-12-19,7.8209
2006-12-20,7.8152
2006-12-21,7.816
2006-12-22,7.8165
2006-12-25,7.8215
2006-12-26,7.8207
2006-12-27,7.816
2006-12-28,7.8135
2006-12-29,7.8075
2007-01-01,7.816
2007-01-02,7.816
2007-01-03,7.816
2007-01-04,7.8055
2007-01-05,7.809
2007-01-08,7.8127
2007-01-09,7.8066
2007-01-10,7.8065
2007-01-11,7.7948
2007-01-12,7.7973
2007-01-15,7.7931
2007-01-16,7.7901
2007-01-17,7.775
2007-01-18,7.7705
2007-01-19,7.7765
2007-01-22,7.7739
2007-01-23,7.7765
2007-01-24,7.7724
2007-01-25,7.7682
2007-01-26,7.777
2007-01-29,7.774
2007-01-30,7.776
2007-01-31,7.7748
2007-02-01,7.7588
2007-02-02,7.756
2007-02-05,7.7585
2007-02-06,7.757
2007-02-07,7.748
2007-02-08,7.7488
2007-02-09,7.7505
2007-02-12,7.756
2007-02-13,7.76
2007-02-14,7.759
2007-02-15,7.7555
2007-02-16,7.7502
2007-02-19,7.7502
2007-02-20,7.7502
2007-02-21,7.7502
2007-02-22,7.7502
2007-02-23,7.7502
2007-02-26,7.748
2007-02-27,7.741
2007-02-28,7.738
2007-03-01,7.7432
2007-03-02,7.7447
2007-03-05,7.75
2007-03-06,7.7416
2007-03-07,7.74
2007-03-08,7.74
2007-03-09,7.744
2007-03-12,7.7473
2007-03-13,7.7469
2007-03-14,7.7412
2007-03-15,7.744
2007-03-16,7.7358
2007-03-19,7.7362
2007-03-20,7.7374
2007-03-21,7.7353
2007-03-22,7.726
2007-03-23,7.7325
2007-03-26,7.7359
2007-03-27,7.7335
2007-03-28,7.7291
2007-03-29,7.7271
2007-03-30,7.7308
2007-04-02,7.7287
2007-04-03,7.7315
2007-04-04,7.7346
2007-04-05,7.7267
2007-04-06,7.721
2007-04-09,7.7335
2007-04-10,7.734
2007-04-11,7.7265
2007-04-12,7.726
2007-04-13,7.7217
2007-04-16,7.7279
2007-04-17,7.7332
2007-04-18,7.7226
2007-04-19,7.7165
2007-04-20,7.7179
2007-04-23,7.723
2007-04-24,7.7259
2007-04-25,7.719
2007-04-26,7.7264
2007-04-27,7.7216
2007-04-30,7.7055
2007-05-01,7.7055
2007-05-02,7.7055
2007-05-03,7.7055
2007-05-04,7.7055
2007-05-07,7.7055
2007-05-08,7.696
2007-05-09,7.6935
2007-05-10,7.6939
2007-05-11,7.6766
2007-05-14,7.681
2007-05-15,7.6835
2007-05-16,7.6817
2007-05-17,7.6705
2007-05-18,7.6685
2007-05-21,7.664
2007-05-22,7.6545
2007-05-23,7.653
2007-05-24,7.6519
2007-05-25,7.6523
2007-05-28,7.645
2007-05-29,7.6502
2007-05-30,7.646
2007-05-31,7.6475
2007-06-01,7.6463
2007-06-04,7.649
2007-06-05,7.6426
2007-06-06,7.635
2007-06-07,7.648
2007-06-08,7.655
2007-06-11,7.665
2007-06-12,7.6435
2007-06-13,7.632
2007-06-14,7.6254
2007-06-15,7.625
2007-06-18,7.63
2007-06-19,7.6175
2007-06-20,7.6175
2007-06-21,7.619
2007-06-22,7.625
2007-06-25,7.6195
2007-06-26,7.616
2007-06-27,7.618
2007-06-28,7.615
2007-06-29,7.6135
2007-07-02,7.605
2007-07-03,7.594
2007-07-04,7.595
2007-07-05,7.598
2007-07-06,7.601
2007-07-09,7.6015
2007-07-10,7.581
2007-07-11,7.563
2007-07-12,7.566
2007-07-13,7.57
2007-07-16,7.5675
2007-07-17,7.562
2007-07-18,7.566
2007-07-19,7.563
2007-07-20,7.57
2007-07-23,7.562
2007-07-24,7.5625
2007-07-25,7.557
2007-07-26,7.5654
2007-07-27,7.56
2007-07-30,7.567
2007-07-31,7.5725
2007-08-01,7.57
2007-08-02,7.572
2007-08-03,7.565
2007-08-06,7.561
2007-08-07,7.5703
2007-08-08,7.577
2007-08-09,7.5651
2007-08-10,7.574
2007-08-13,7.583
2007-08-14,7.5761
2007-08-15,7.5847
2007-08-16,7.603
2007-08-17,7.595
2007-08-20,7.5875
2007-08-21,7.59
2007-08-22,7.602
2007-08-23,7.584
2007-08-24,7.568
2007-08-27,7.56
2007-08-28,7.5555
2007-08-29,7.549
2007-08-30,7.5445
2007-08-31,7.545
2007-09-03,7.5449
2007-09-04,7.55
2007-09-05,7.5512
2007-09-06,7.5388
2007-09-07,7.538
2007-09-10,7.521
2007-09-11,7.523
2007-09-12,7.5217
2007-09-13,7.5105
2007-09-14,7.516
2007-09-17,7.523
2007-09-18,7.523
2007-09-19,7.513
2007-09-20,7.514
2007-09-21,7.503
2007-09-24,7.509
2007-09-25,7.513
2007-09-26,7.515
2007-09-27,7.5145
2007-09-28,7.506
2007-10-01,7.506
2007-10-02,7.506
2007-10-03,7.506
2007-10-04,7.506
2007-10-05,7.506
2007-10-08,7.5036
2007-10-09,7.517
2007-10-10,7.5115
2007-10-11,7.506
2007-10-12,7.5105
2007-10-15,7.528
2007-10-16,7.518
2007-10-17,7.516
2007-10-18,7.511
2007-10-19,7.5083
2007-10-22,7.5095
2007-10-23,7.5035
2007-10-24,7.4938
2007-10-25,7.482
2007-10-26,7.488
2007-10-29,7.475
2007-10-30,7.4715
2007-10-31,7.4715
2007-11-01,7.461
2007-11-02,7.4555
2007-11-05,7.454
2007-11-06,7.454
2007-11-07,7.4425
2007-11-08,7.4207
2007-11-09,7.4115
2007-11-12,7.412
2007-11-13,7.4335
2007-11-14,7.425
2007-11-15,7.422
2007-11-16,7.4245
2007-11-19,7.426
2007-11-20,7.4253
2007-11-21,7.411
2007-11-22,7.412
2007-11-23,7.3993
2007-11-26,7.3969
2007-11-27,7.3872
2007-11-28,7.395
2007-11-29,7.382
2007-11-30,7.398
2007-12-03,7.4025
2007-12-04,7.3985
2007-12-05,7.3933
2007-12-06,7.4135
2007-12-07,7.403
2007-12-10,7.396
2007-12-11,7.3805
2007-12-12,7.374
2007-12-13,7.3675
2007-12-14,7.371
2007-12-17,7.3796
2007-12-18,7.385
2007-12-19,7.377
2007-12-20,7.369
2007-12-21,7.365
2007-12-24,7.3477
2007-12-25,7.3301
2007-12-26,7.3448
2007-12-27,7.3179
2007-12-28,7.3041
2007-12-31,7.3041
2008-01-01,7.3041
2008-01-02,7.2938
2008-01-03,7.2729
2008-01-04,7.273
2008-01-07,7.2694
2008-01-08,7.2647
2008-01-09,7.2636
2008-01-10,7.2714
2008-01-11,7.2625
2008-01-14,7.2515
2008-01-15,7.2421
2008-01-16,7.2324
2008-01-17,7.2486
2008-01-18,7.2423
2008-01-21,7.241
2008-01-22,7.2392
2008-01-23,7.2322
2008-01-24,7.223
2008-01-25,7.2106
2008-01-28,7.1967
2008-01-29,7.1949
2008-01-30,7.191
2008-01-31,7.1822
2008-02-01,7.183
2008-02-04,7.1919
2008-02-05,7.184
2008-02-06,7.1896
2008-02-07,7.1896
2008-02-08,7.1896
2008-02-11,7.192
2008-02-12,7.19
2008-02-13,7.1977
2008-02-14,7.19
2008-02-15,7.18
2008-02-18,7.1655
2008-02-19,7.15
2008-02-20,7.144
2008-02-21,7.141
2008-02-22,7.1422
2008-02-25,7.152
2008-02-26,7.157
2008-02-27,7.1425
2008-02-28,7.1125
2008-02-29,7.1119
2008-03-03,7.104
2008-03-04,7.1064
2008-03-05,7.11
2008-03-06,7.106
2008-03-07,7.1114
2008-03-10,7.1065
2008-03-11,7.1031
2008-03-12,7.1014
2008-03-13,7.0904
2008-03-14,7.0906
2008-03-17,7.0832
2008-03-18,7.08
2008-03-19,7.0667
2008-03-20,7.0525
2008-03-21,7.053
2008-03-24,7.0555
2008-03-25,7.0519
2008-03-26,7.0294
2008-03-27,7.0109
2008-03-28,7.012
2008-03-31,7.0124
2008-04-01,7.012
2008-04-02,7.0189
2008-04-03,7.0175
2008-04-04,7.0175
2008-04-07,7.0015
2008-04-08,7.0012
2008-04-09,7.0021
2008-04-10,6.992
2008-04-11,7.0065
2008-04-14,6.9994
2008-04-15,6.9925
2008-04-16,6.9922
2008-04-17,6.9842
2008-04-18,6.9939
2008-04-21,7.0
2008-04-22,6.989
2008-04-23,6.9825
2008-04-24,6.9875
2008-04-25,7.01
2008-04-28,7.0024
2008-04-29,6.9849
2008-04-30,6.9885
2008-05-01,6.9885
2008-05-02,6.9885
2008-05-05,6.9883
2008-05-06,6.9877
2008-05-07,6.989
2008-05-08,7.0048
2008-05-09,6.9878
2008-05-12,6.9886
2008-05-13,6.9887
2008-05-14,7.0026
2008-05-15,6.9947
2008-05-16,6.9925
2008-05-19,6.9725
2008-05-20,6.9735
2008-05-21,6.9597
2008-05-22,6.9435
2008-05-23,6.9416
2008-05-26,6.9365
2008-05-27,6.95
2008-05-28,6.9444
2008-05-29,6.9379
2008-05-30,6.9425
2008-06-02,6.933
2008-06-03,6.9252
2008-06-04,6.9394
2008-06-05,6.948
2008-06-06,6.9231
2008-06-09,6.9231
2008-06-10,6.9199
2008-06-11,6.918
2008-06-12,6.9075
2008-06-13,6.902
2008-06-16,6.9005
2008-06-17,6.8914
2008-06-18,6.8822
2008-06-19,6.8775
2008-06-20,6.8801
2008-06-23,6.8742
2008-06-24,6.8702
2008-06-25,6.8653
2008-06-26,6.8657
2008-06-27,6.8618
2008-06-30,6.8544
2008-07-01,6.8564
2008-07-02,6.8531
2008-07-03,6.851
2008-07-04,6.859
2008-07-07,6.8674
2008-07-08,6.8581
2008-07-09,6.8599
2008-07-10,6.8429
2008-07-11,6.8341
2008-07-14,6.8449
2008-07-15,6.8212
2008-07-16,6.8109
2008-07-17,6.8209
2008-07-18,6.8168
2008-07-21,6.83
2008-07-22,6.8217
2008-07-23,6.8295
2008-07-24,6.8289
2008-07-25,6.819
2008-07-28,6.8375
2008-07-29,6.8257
2008-07-30,6.8265
2008-07-31,6.8315
2008-08-01,6.8425
2008-08-04,6.8518
2008-08-05,6.8555
2008-08-06,6.8487
2008-08-07,6.8632
2008-08-08,6.8575
2008-08-11,6.8577
2008-08-12,6.8659
2008-08-13,6.8572
2008-08-14,6.863
2008-08-15,6.87
2008-08-18,6.871
2008-08-19,6.8599
2008-08-20,6.8547
2008-08-21,6.8442
2008-08-22,6.8342
2008-08-25,6.8487
2008-08-26,6.848
2008-08-27,6.8375
2008-08-28,6.8291
2008-08-29,6.8487
2008-09-01,6.8253
2008-09-02,6.833
2008-09-03,6.8434
2008-09-04,6.836
2008-09-05,6.8423
2008-09-08,6.8374
2008-09-09,6.8386
2008-09-10,6.8385
2008-09-11,6.8487
2008-09-12,6.8375
2008-09-15,6.8487
2008-09-16,6.8491
2008-09-17,6.8379
2008-09-18,6.8345
2008-09-19,6.835
2008-09-22,6.8311
2008-09-23,6.8126
2008-09-24,6.824
2008-09-25,6.8204
2008-09-26,6.8451
2008-09-29,6.8451
2008-09-30,6.8451
2008-10-01,6.8451
2008-10-02,6.8451
2008-10-03,6.8451
2008-10-06,6.8429
2008-10-07,6.8152
2008-10-08,6.8136
2008-10-09,6.8205
2008-10-10,6.835
2008-10-13,6.835
2008-10-14,6.8312
2008-10-15,6.8315
2008-10-16,6.8339
2008-10-17,6.8341
2008-10-20,6.8301
2008-10-21,6.8336
2008-10-22,6.8347
2008-10-23,6.8355
2008-10-24,6.8441
2008-10-27,6.8523
2008-10-28,6.8388
2008-10-29,6.8415
2008-10-30,6.8382
2008-10-31,6.8395
2008-11-03,6.8381
2008-11-04,6.836
2008-11-05,6.8284
2008-11-06,6.8232
2008-11-07,6.8256
2008-11-10,6.8265
2008-11-11,6.8211
2008-11-12,6.8296
2008-11-13,6.83
2008-11-14,6.8243
2008-11-17,6.827
2008-11-18,6.8244
2008-11-19,6.83
2008-11-20,6.8345
2008-11-21,6.8307
2008-11-24,6.8254
2008-11-25,6.824
2008-11-26,6.8287
2008-11-27,6.8283
2008-11-28,6.8259
2008-12-01,6.8849
2008-12-02,6.8793
2008-12-03,6.8753
2008-12-04,6.8822
2008-12-05,6.8752
2008-12-08,6.8791
2008-12-09,6.8735
2008-12-10,6.8645
2008-12-11,6.8514
2008-12-12,6.8425
2008-12-15,6.8492
2008-12-16,6.845
2008-12-17,6.8353
2008-12-18,6.8345
2008-12-19,6.8445
2008-12-22,6.8518
2008-12-23,6.8485
2008-12-24,6.836
2008-12-25,6.8313
2008-12-26,6.8414
2008-12-29,6.8452
2008-12-30,6.8308
2008-12-31,6.823
2009-01-01,6.823
2009-01-02,6.823
2009-01-05,6.8305
2009-01-06,6.8365
2009-01-07,6.8335
2009-01-08,6.8347
2009-01-09,6.8355
2009-01-12,6.8366
2009-01-13,6.8342
2009-01-14,6.835
2009-01-15,6.8365
2009-01-16,6.8374
2009-01-19,6.8355
2009-01-20,6.841
2009-01-21,6.8397
2009-01-22,6.8375
2009-01-23,6.8397
2009-01-26,6.8397
2009-01-27,6.8397
2009-01-28,6.8397
2009-01-29,6.8397
2009-01-30,6.835
2009-02-02,6.8475
2009-02-03,6.8405
2009-02-04,6.834
2009-02-05,6.836
2009-02-06,6.8344
2009-02-09,6.8397
2009-02-10,6.8247
2009-02-11,6.8332
2009-02-12,6.835
2009-02-13,6.8397
2009-02-16,6.8254
2009-02-17,6.836
2009-02-18,6.8379
2009-02-19,6.8355
2009-02-20,6.8372
2009-02-23,6.836
2009-02-24,6.8373
2009-02-25,6.8374
2009-02-26,6.8366
2009-02-27,6.8396
2009-03-02,6.844
2009-03-03,6.8414
2009-03-04,6.8434
2009-03-05,6.8408
2009-03-06,6.84
2009-03-09,6.8405
2009-03-10,6.8414
2009-03-11,6.8404
2009-03-12,6.8388
2009-03-13,6.8382
2009-03-16,6.8383
2009-03-17,6.8371
2009-03-18,6.8348
2009-03-19,6.8245
2009-03-20,6.8277
2009-03-23,6.8338
2009-03-24,6.8295
2009-03-25,6.8309
2009-03-26,6.8322
2009-03-27,6.8315
2009-03-30,6.8366
2009-03-31,6.8334
2009-04-01,6.8342
2009-04-02,6.8345
2009-04-03,6.8348
2009-04-06,6.8348
2009-04-07,6.8365
2009-04-08,6.8355
2009-04-09,6.8345
2009-04-10,6.8337
2009-04-13,6.8353
2009-04-14,6.8323
2009-04-15,6.8325
2009-04-16,6.8321
2009-04-17,6.8326
2009-04-20,6.8336
2009-04-21,6.8259
2009-04-22,6.8299
2009-04-23,6.8268
2009-04-24,6.8265
2009-04-27,6.8272
2009-04-28,6.8268
2009-04-29,6.8245
2009-04-30,6.8185
2009-05-01,6.8185
2009-05-04,6.8224
2009-05-05,6.8193
2009-05-06,6.8181
2009-05-07,6.8215
2009-05-08,6.8214
2009-05-11,6.8116
2009-05-12,6.8125
2009-05-13,6.8117
2009-05-14,6.8137
2009-05-15,6.8147
2009-05-18,6.8165
2009-05-19,6.8151
2009-05-20,6.8149
2009-05-21,6.8149
2009-05-22,6.8144
2009-05-24,6.8144
2009-05-25,6.8139
2009-05-26,6.8194
2009-05-27,6.8195
2009-05-28,6.8183
2009-05-29,6.8183
2009-05-31,6.8183
2009-06-01,6.8183
2009-06-02,6.8198
2009-06-03,6.8183
2009-06-04,6.8234
2009-06-05,6.8225
2009-06-07,6.8225
2009-06-08,6.8257
2009-06-09,6.8259
2009-06-10,6.8231
2009-06-11,6.8275
2009-06-12,6.8234
2009-06-14,6.8234
2009-06-15,6.8276
2009-06-16,6.824
2009-06-17,6.8289
2009-06-18,6.8251
2009-06-19,6.8266
2009-06-21,6.8266
2009-06-22,6.825
2009-06-23,6.8275
2009-06-24,6.8235
2009-06-25,6.8249
2009-06-26,6.8242
2009-06-28,6.8242
2009-06-29,6.8248
2009-06-30,6.8205
2009-07-01,6.8225
2009-07-02,6.8225
2009-07-03,6.8223
2009-07-05,6.8223
2009-07-06,6.8258
2009-07-07,6.8235
2009-07-08,6.8237
2009-07-09,6.8234
2009-07-10,6.8227
2009-07-12,6.8227
2009-07-13,6.8234
2009-07-14,6.8229
2009-07-15,6.8225
2009-07-16,6.8215
2009-07-17,6.8213
2009-07-19,6.8213
2009-07-20,6.8227
2009-07-21,6.8217
2009-07-22,6.8216
2009-07-23,6.8217
2009-07-24,6.8225
2009-07-26,6.8225
2009-07-27,6.8214
2009-07-28,6.8209
2009-07-29,6.8224
2009-07-30,6.8226
2009-07-31,6.8218
2009-08-03,6.821
2009-08-04,6.8203
2009-08-05,6.8217
2009-08-06,6.8213
2009-08-07,6.8218
2009-08-09,6.8218
2009-08-10,6.8247
2009-08-11,6.825
2009-08-12,6.8251
2009-08-13,6.8235
2009-08-14,6.8233
2009-08-16,6.8234
2009-08-17,6.8249
2009-08-18,6.8245
2009-08-19,6.8264
2009-08-20,6.8218
2009-08-21,6.8215
2009-08-23,6.8215
2009-08-24,6.8215
2009-08-25,6.8217
2009-08-26,6.8214
2009-08-27,6.8218
2009-08-28,6.8211
2009-08-30,6.8212
2009-08-31,6.8212
2009-09-01,6.8204
2009-09-02,6.8208
2009-09-03,6.8207
2009-09-04,6.8205
2009-09-06,6.8305
2009-09-07,6.8303
2009-09-08,6.8276
2009-09-09,6.8282
2009-09-10,6.8294
2009-09-11,6.8273
2009-09-13,6.8273
2009-09-14,6.8287
2009-09-15,6.829
2009-09-16,6.8274
2009-09-17,6.8266
2009-09-18,6.8281
2009-09-20,6.8281
2009-09-21,6.8289
2009-09-22,6.827
2009-09-23,6.8261
2009-09-24,6.8268
2009-09-25,6.8289
2009-09-27,6.8289
2009-09-28,6.8282
2009-09-29,6.8276
2009-09-30,6.8264
2009-10-01,6.8265
2009-10-02,6.8265
2009-10-04,6.8265
2009-10-05,6.8264
2009-10-06,6.8264
2009-10-07,6.8265
2009-10-08,6.8265
2009-10-09,6.8254
2009-10-11,6.8254
2009-10-12,6.8251
2009-10-13,6.8259
2009-10-14,6.8248
2009-10-15,6.8258
2009-10-16,6.827
2009-10-18,6.827
2009-10-19,6.8266
2009-10-20,6.8261
2009-10-21,6.8271
2009-10-22,6.8273
2009-10-23,6.8281
2009-10-25,6.8281
2009-10-26,6.8278
2009-10-27,6.8301
2009-10-28,6.8288
2009-10-29,6.8296
2009-10-30,6.8275
2009-11-01,6.8275
2009-11-02,6.8289
2009-11-03,6.828
2009-11-04,6.8286
2009-11-05,6.8276
2009-11-06,6.8274
2009-11-08,6.8274
2009-11-09,6.8265
2009-11-10,6.8278
2009-11-11,6.8264
2009-11-12,6.8266
2009-11-13,6.8263
2009-11-15,6.8263
2009-11-16,6.8265
2009-11-17,6.8278
2009-11-18,6.8269
2009-11-19,6.8278
2009-11-20,6.8276
2009-11-22,6.8276
2009-11-23,6.8317
2009-11-24,6.8288
2009-11-25,6.8285
2009-11-26,6.8266
2009-11-27,6.8285
2009-11-29,6.8285
2009-11-30,6.8272
2009-12-01,6.8284
2009-12-02,6.8268
2009-12-03,6.8267
2009-12-04,6.8266
2009-12-06,6.8266
2009-12-07,6.8288
2009-12-08,6.8279
2009-12-09,6.8284
2009-12-10,6.8266
2009-12-11,6.8278
2009-12-13,6.8278
2009-12-14,6.8293
2009-12-15,6.8286
2009-12-16,6.8287
2009-12-17,6.8296
2009-12-18,6.8285
2009-12-20,6.8285
2009-12-21,6.8284
2009-12-22,6.829
2009-12-23,6.828
2009-12-24,6.828
2009-12-25,6.828
2009-12-27,6.828
2009-12-28,6.8299
2009-12-29,6.8287
2009-12-30,6.8272
2009-12-31,6.8272
2010-01-01,6.8245
2010-01-03,6.8272
2010-01-04,6.8269
2010-01-05,6.827
2010-01-06,6.8283
2010-01-07,6.8278
2010-01-08,6.8275
2010-01-10,6.8275
2010-01-11,6.8265
2010-01-12,6.8266
2010-01-13,6.8268
2010-01-14,6.827
2010-01-15,6.827
2010-01-17,6.827
2010-01-18,6.8268
2010-01-19,6.8268
2010-01-20,6.8273
2010-01-21,6.8277
2010-01-22,6.8269
2010-01-24,6.827
2010-01-25,6.8269
2010-01-26,6.8266
2010-01-27,6.827
2010-01-28,6.8269
2010-01-29,6.8269
2010-01-31,6.8269
2010-02-01,6.827
2010-02-02,6.825
2010-02-03,6.8269
2010-02-04,6.8269
2010-02-05,6.8285
2010-02-07,6.8285
2010-02-08,6.827
2010-02-09,6.8266
2010-02-10,6.829
2010-02-11,6.834
2010-02-12,6.8335
2010-02-14,6.8335
2010-02-15,6.8334
2010-02-16,6.8334
2010-02-17,6.8334
2010-02-18,6.8334
2010-02-19,6.8291
2010-02-21,6.8291
2010-02-22,6.8279
2010-02-23,6.8282
2010-02-24,6.827
2010-02-25,6.8269
2010-02-26,6.8267
2010-02-28,6.8267
2010-03-01,6.8264
2010-03-02,6.8275
2010-03-03,6.8259
2010-03-04,6.8266
2010-03-05,6.8265
2010-03-07,6.8265
2010-03-08,6.827
2010-03-09,6.8263
2010-03-10,6.8259
2010-03-11,6.8276
2010-03-12,6.8256
2010-03-15,6.8261
2010-03-16,6.826
2010-03-17,6.826
2010-03-18,6.8275
2010-03-19,6.8266
2010-03-22,6.8266
2010-03-23,6.8263
2010-03-24,6.8266
2010-03-25,6.8274
2010-03-26,6.827
2010-03-29,6.8264
2010-03-30,6.8258
2010-03-31,6.8259
2010-04-01,6.8264
2010-04-02,6.8256
2010-04-05,6.8256
2010-04-06,6.8255
2010-04-07,6.8255
2010-04-08,6.8241
2010-04-09,6.8234
2010-04-12,6.8259
2010-04-13,6.8256
2010-04-14,6.8258
2010-04-15,6.8261
2010-04-16,6.8255
2010-04-19,6.826
2010-04-20,6.8254
2010-04-21,6.8276
2010-04-22,6.8269
2010-04-23,6.828
2010-04-25,6.828
2010-04-26,6.8276
2010-04-27,6.8266
2010-04-28,6.825
2010-04-29,6.8258
2010-04-30,6.826
2010-05-02,6.826
2010-05-03,6.825
2010-05-04,6.8263
2010-05-05,6.8271
2010-05-06,6.8268
2010-05-07,6.8257
2010-05-09,6.8257
2010-05-10,6.8266
2010-05-11,6.8277
2010-05-12,6.8276
2010-05-13,6.8276
2010-05-14,6.8266
2010-05-16,6.8266
2010-05-17,6.8277
2010-05-18,6.827
2010-05-19,6.8275
2010-05-20,6.8279
2010-05-21,6.8263
2010-05-23,6.8263
2010-05-24,6.8263
2010-05-25,6.8313
2010-05-26,6.828
2010-05-27,6.8305
2010-05-28,6.8303
2010-05-30,6.8303
2010-05-31,6.8281
2010-06-01,6.8288
2010-06-02,6.8313
2010-06-03,6.83
2010-06-04,6.8287
2010-06-06,6.8287
2010-06-07,6.8306
2010-06-08,6.8295
2010-06-09,6.8292
2010-06-10,6.8291
2010-06-11,6.8323
2010-06-13,6.8323
2010-06-14,6.8333
2010-06-15,6.8333
2010-06-16,6.8333
2010-06-17,6.8293
2010-06-18,6.8286
2010-06-20,6.8286
2010-06-21,6.7971
2010-06-22,6.812
2010-06-23,6.8104
2010-06-24,6.801
2010-06-25,6.7922
2010-06-27,6.7922
2010-06-28,6.7941
2010-06-29,6.799
2010-06-30,6.782
2010-07-01,6.781
2010-07-02,6.7716
2010-07-04,6.7716
2010-07-05,6.7764
2010-07-06,6.7805
2010-07-07,6.7756
2010-07-08,6.7756
2010-07-09,6.7738
2010-07-11,6.7738
2010-07-12,6.7717
2010-07-13,6.7723
2010-07-14,6.7731
2010-07-15,6.7755
2010-07-16,6.7746
2010-07-18,6.7746
2010-07-19,6.779
2010-07-20,6.7785
2010-07-21,6.7785
2010-07-22,6.7781
2010-07-23,6.7795
2010-07-25,6.7795
2010-07-26,6.7796
2010-07-27,6.7776
2010-07-28,6.7782
2010-07-29,6.7763
2010-07-30,6.7752
2010-08-01,6.7752
